,选择题,填空题,算法题,实际应用题
0,,,,请编写一个C语言程序，实现一个计算两个整数之和的程序。请给出一个整数作为输入，程序应该计算两个整数的和并输出结果。
1,,,,请编写一个C语言程序，其中使用while循环检查一个整数x的状态，当x为0时，程序应输出“x is 0”，当x为1时，程序应输出“x is 1”。在程序中使用条件表达式`!x`来检查x的状态，同时使用条件（   ）来等价地检查x的状态。
2,,,,请编写一个C语言程序，模拟一球从100米高度自由落下的过程。在程序中，定义一个浮点型变量s to store the distance the ball has traveled（即共经过的距离），另一个浮点型变量h to store the height of the ball after the 10th bounce。然后在程序中使用循环计算第n次落地时，s的值和h的值，并输出结果。第十次落地时，共经过多少米？第十次反弹多高？
3,,,,"请编写C语言程序，根据给定的表达式：x=(y=4, z=16, k=32) 计算变量 x 的值，并在程序中输出结果。"
4,,,,"请编写一个C语言程序，包括一个函数sort(int a[],int n)，该函数接受一个整型数组和其长度作为参数，实现任意长度一维整型数组的元素排序。在main( )函数中，定义一个一维数组并初始化其元素，然后调用sort( )函数对数组进行排序，最后输出排序后的数组元素。"
5,,,,请编写一个C语言程序，接受用户输入的不同类型变量（整型、实型、字符型、逻辑型），并输出这些变量的时间类型（包括整型、实型、字符型、逻辑型）。
6,,,,"请编写C语言程序，实现以下运算符的优先级顺序：
A. <= 
B. ～ 
C. != 
D. ||
根据程序的要求，测试其他运算符的优先级，并输出相应的结果。"
7,,,,实际应用题：请编写一个C语言程序，从键盘输入30名学生的成绩数据，计算其中的最高分、最低分和平均分。确保程序能够正确处理不同学生成绩的数据，并输出结果。
8,,,,请编写C语言程序，实现以下功能：程序首先定义一个整数数组a，然后调用函数sum(int *a) 对数组a进行元素求和，最后输出数组a中第一个元素的值。测试程序的运行结果，输出结果应该是（）。
9,,,,请编写C语言程序，根据以上描述，实现一个输入数字n的值，然后遍历从0到3的整数，输出每行的变量n的值。
